,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
129,3.0,54.0,1.0,1.0,1.0,Popular,1960.0,1.0,E,1.0,0.0,0.0,piso,Casco Histórico de Vallecas,40.3773477,-3.6217118,122500.0,2128.0
130,3.0,71.0,2.0,1.0,1.0,Popular,1977.0,1.0,C,0.0,0.0,0.0,piso,Alcobendas,40.5400082,-3.6358494,235000.0,19602.0
131,3.0,49.0,1.0,1.0,0.0,Popular,1960.0,0.0,En proceso,0.0,1.0,0.0,piso,Rosas,40.4278,-3.6006,115000.0,11840.0
132,3.0,66.0,1.0,1.0,0.0,Popular,1955.0,0.0,E,0.0,1.0,0.0,piso,Portazgo,40.3914367,-3.6481261,160000.0,41798.0
133,3.0,136.0,2.0,0.0,0.0,Popular,1975.0,1.0,E,0.0,1.0,0.0,piso,Las Rozas De Madrid,40.4933095,-3.8758396,470000.0,109102.0
134,3.0,116.0,2.0,0.0,0.0,Popular,1991.0,1.0,En proceso,1.0,0.0,0.0,piso,Brunete,40.4050499,-3.9979912,210000.0,20756.0
135,4.0,80.0,1.0,1.0,0.0,Popular,1969.0,0.0,En proceso,0.0,1.0,0.0,piso,Lucero,40.4021568,-3.7511015,238000.0,33718.0
136,4.0,179.0,3.0,1.0,0.0,Popular,1967.0,1.0,E,1.0,0.0,0.0,piso,Ciudad Lineal,40.4484305,-3.650495,475000.0,31252.0
137,2.0,52.0,1.0,1.0,0.0,Popular,1960.0,0.0,F,0.0,1.0,0.0,piso,Concepción,40.4395,-3.6479,199000.0,66306.0
138,2.0,65.0,1.0,1.0,0.0,Señorial,1965.0,1.0,E,0.0,0.0,0.0,piso,Pueblo Nuevo,40.4268,-3.6365,178000.0,22350.0
139,2.0,55.0,1.0,1.0,0.0,Popular,1960.0,1.0,En proceso,0.0,0.0,0.0,piso,Ventas,40.4310642,-3.6635419,155000.0,5936.0
140,3.0,78.0,1.0,1.0,0.0,Señorial,1979.0,0.0,En proceso,1.0,1.0,0.0,piso,Valdeacederas,40.4679108,-3.7034226,298000.0,39496.0
141,3.0,74.0,1.0,0.0,1.0,Popular,1970.0,0.0,En proceso,0.0,0.0,0.0,piso,Parla,40.2373952,-3.7718902,110000.0,18294.0
142,2.0,70.0,1.0,0.0,0.0,Popular,2007.0,1.0,E,0.0,0.0,0.0,piso,Parla,40.2373952,-3.7718902,169900.0,76826.0
143,3.0,110.0,1.0,1.0,0.0,Media,1970.0,1.0,E,1.0,1.0,0.0,piso,Puerta Del Ángel,40.4093544,-3.7337422,239000.0,65738.0
144,3.0,108.0,2.0,0.0,0.0,Media,1998.0,1.0,En proceso,1.0,1.0,0.0,piso,Valdemoro,40.1888604,-3.67143,199000.0,12594.0
145,2.0,61.0,1.0,1.0,0.0,Popular,1960.0,0.0,D,0.0,0.0,0.0,piso,Simancas,40.4362,-3.6248,140000.0,2772.0
